Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,34,"Burchett MD, Allen C, Pulkownik A, MacFarlane G (1998) Rehabilitation of saline wetland, Olympics 2000 site, Sydney (Australia) - II: Saltmarsh transplantation trials and applicationNA Mar Pollut Bull 37:526-534",journal,1998,1993-1996,NA,primary,"A saltmarsh transplantation project, and resulting management approaches for the rehabilitation of other saline wetland areas on the siteNA Here: survival of transplanted saltmarsh on an elevation of 40 cm and after 2 yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Lampranthus tegens,"Haslams Creek, Olympics 2000 Site, Sydney",Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We should like to thank Kim McCallum, OCA, for her initiation and support of this project in its setting up phase, and Dr Colin Grant, OCA, for his advice and support in its later stagesNA We also thank John Pym and David Whitehorn, of the Waste Services NSW site remediation team, for their on-site help and adviceNA Thanks also to Narelle Richardson, laboratory manager, Collette Thomas, and students Louisa Mamouney, Daniel Armstrong and Greg Blood, of the Faculty of Science, UTS, for help with the field sampling and analysisNA The New South Wales Olympic Co-ordination Authority, which is responsible for the redevelopment of the site for the Olympic Games 2000, Sydney, is committed to the rehabilitation of the remnant ecosystems remaining on the siteNA",2,0NA56,NA,1993.00,NA,NA,NA,NA,NA,83NA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,35,"Burchett MD, Allen C, Pulkownik A, MacFarlane G (1998) Rehabilitation of saline wetland, Olympics 2000 site, Sydney (Australia) - II: Saltmarsh transplantation trials and applicationNA Mar Pollut Bull 37:526-534",journal,1998,1993-1996,NA,primary,"A saltmarsh transplantation project, and resulting management approaches for the rehabilitation of other saline wetland areas on the siteNA Here: survival of transplanted saltmarsh on an elevation of 40 cm and after 2 yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Wilsonia backhousei,"Haslams Creek, Olympics 2000 Site, Sydney",Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We should like to thank Kim McCallum, OCA, for her initiation and support of this project in its setting up phase, and Dr Colin Grant, OCA, for his advice and support in its later stagesNA We also thank John Pym and David Whitehorn, of the Waste Services NSW site remediation team, for their on-site help and adviceNA Thanks also to Narelle Richardson, laboratory manager, Collette Thomas, and students Louisa Mamouney, Daniel Armstrong and Greg Blood, of the Faculty of Science, UTS, for help with the field sampling and analysisNA The New South Wales Olympic Co-ordination Authority, which is responsible for the redevelopment of the site for the Olympic Games 2000, Sydney, is committed to the rehabilitation of the remnant ecosystems remaining on the siteNA",2,0NA56,NA,1993.00,NA,NA,NA,NA,NA,3NA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,36,"Burdick DM, Dionne M, Boumans RM, Short FT (1997) Ecological responses to tidal restorations of two northern New England salt marshesNA Wetl Ecol Manag 4:129-144",journal,1997,1993-1996,1996,primary,Hydrologic restoration has been carried outNA A 2NA1 meter diameter arched culvert was installed and the flap gate on the existing culvert was removed in October 1993 to restore saltmarsh habitat upstream of the road at Mill BrookNA,Hydrological restoration,NA,"Mill Brook Marsh, New Hampshire",USA,USA,developed,"The Mill Brook restoration was inexpensive in terms of the direct funding for hydrologic analysis and construction (US $20,000)NA Additional costs included many hours spent by public servants assessing the site and planning for this restoration projectNA Approximately US $ 20,000 is needed per year (1996 dollars), for example, to assess the impacts and responses to tidal restoration at Mill BrookNA",NA,yes,NA,NA,yes,NA,yes,yes,NA,NA,"Field assistance was provided by SNA Orringer, KNA Scheirer, RNA Zijlmans, TNA Comeau, INA Warden, PNA Morgan, JNA Spicer, TNA Smith, and ENA BrainardNA Funding was provided by the National Estuarine Research Reserve Program of the Marine and Sanctuaries Division of NOAA, Department of Commerce (Award # NA57OR0343): The Coastal Program, Office of State Planning, New Hampshire: Wells National Estuarine Research Reserve, The Laudholm Trust, Wells, Maine: and Oak Knoll Foundation, Rowley, MassachusettsNA",3,4NA5,80000.00,1996.00,17778.00,24715.00,8238.00,8238.00,"Hydrologic restoration that allowed for unrestricted saltwater exchange at Mill Brook restored salt marsh
functions relatively quicklyNA Neither site has vegetation that is equivalent to the habitat values of the reference areasNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,37,"Castillo JM, Figueroa E (2009) Restoring salt marshes using small cordgrass, Spartina maritimaNA Restor Ecol 17:324-326",journal,2009,2006-2007,NA,primary,The study describes an innovative restoration project based on Spartina maritima plantationsNA SNA maritima was planted at slightly sloping channel banksNA SNA maritima clumps had to be obtained from natural populations because it does not produce seeds and it is not produced at nurseriesNA,"Planting saltmarsh (seeds, seedlings or sods)",Spartina maritima,"Odiel Marshes, SNAWNA Iberian Peninsula",Spain,ESP,developed,"The rate of plantation was 2,154 m2/day with a team of 19 ± 1 workers and a mean of 6 daily working hours (3 hours before and after low-tide level)NA",NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"We thank the DIGICYT for grant PB-1455, the company Alventus Medio-Ambiente SNALNA, Antonio Tunon, Miguel Sanz, and the Directorate of the Odiel Marshes Natural Park for collaborationNA",1,8NA37,NA,2006.00,NA,NA,NA,NA,Survivorship of transplanted SNA maritima clumps has been very high (99% at channel banks and 75% at interior marshes) and they have colonized surrounding bare sediments at expansion rates of 1NA1 cm/month (n=76)NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,38,"Castillo JM, Figueroa E (2009) Restoring salt marshes using small cordgrass, Spartina maritimaNA Restor Ecol 17:324-326",journal,2009,2006-2007,NA,primary,The study describes an innovative restoration project based on Spartina maritima plantationsNA SNA maritima was planted at slightly sloping channel banksNA SNA maritima clumps had to be obtained from natural populations because it does not produce seeds and it is not produced at nurseriesNA,"Planting saltmarsh (seeds, seedlings or sods)",Spartina maritima,"Odiel Marshes, SNAWNA Iberian Peninsula",Spain,ESP,developed,"The rate of plantation was 2,154 m2/day with a team of 19 ± 1 workers and a mean of 6 daily working hours (3 hours before and after low-tide level)NA",NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"We thank the DIGICYT for grant PB-1455, the company Alventus Medio-Ambiente SNALNA, Antonio Tunon, Miguel Sanz, and the Directorate of the Odiel Marshes Natural Park for collaborationNA",1,8NA37,NA,2006.00,NA,NA,NA,NA,Survivorship of transplanted SNA maritima clumps has been very high (99% at channel banks and 75% at interior marshes) and they have colonized surrounding bare sediments at expansion rates of 1NA1 cm/month (n=76)NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,39,"Castillo JM, Figueroa E (2009) Restoring salt marshes using small cordgrass, Spartina maritimaNA Restor Ecol 17:324-326",journal,2009,2006-2007,NA,primary,Atriplex portulacoides clumps cultivated at a nursery were planted at the edges of interior marshes to accelerate its colonizationNA,"Planting saltmarsh (seeds, seedlings or sods)",Atriplex portulacoides,"Odiel Marshes, Southwest Iberian Peninsula",Spain,ESP,developed,"The rate of plantation was 2,154 m2/day with a team of 19 ± 1 workers and a mean of 6 daily working hours (3 hours before and after low-tide level)NA",NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,"We thank the DIGICYT for grant PB-1455, the company Alventus Medio-Ambiente SNALNA, Antonio Tunon, Miguel Sanz, and the Directorate of the Odiel Marshes Natural Park for collaborationNA",1,8NA37,NA,2006.00,NA,NA,NA,NA,Atriplex portulacoides clumps showed a survivorship of 90%NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,40,Cornelisen C (1998) Restoration of coastal habitats and species in the Gulf of MaineNA Gulf of Maine Council on the Marine Environment,report,1998,NA,NA,secondary,"Saltmarsh restoration, Logan Airport, BostonNA See: (Louis Berger & AssocNA, 1997)NA","Permitting, planning, construction",NA,"Logan Airport, Boston",USA,USA,developed,"Cost include: permitting, planning, and constructionNA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,0NA526,700000.00,1997.00,1330567.00,1807522.00,1807522.00,1807522.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,41,Cornelisen C (1998) Restoration of coastal habitats and species in the Gulf of MaineNA Gulf of Maine Council on the Marine Environment,report,1998,NA,NA,secondary,"Proactive project to restore degraded habitats: replacing a culvert or installing a self-regulating tide gate restored the tidal flow and enhanced natural development of saltmarshesNA Project involved in-kind contributions of resourcesNA See: (Louis Berger & AssocNA, 1997)NA",Hydrological restoration,NA,"Rye, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20NA234,40000.00,1997.00,1977.00,2686.00,2686.00,2686.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,42,"Dawe N, Bradfield G, Boyd W, Trethewey D, Zolbrod A (2000) Marsh creation in a northern Pacific estuary: Is thirteen years of monitoring vegetation dynamics enough? Conserv Ecol 4:1–12",journal,2000,1981-1994,NA,primary,"The project involved the construction of four intertidal islands with a total planted surface area of 2NA4 haNA Over 23,000 marsh vegetation plugs salvaged from the construction of a nearby log-sorting facility and holding pond were transplanted to the islandsNA","Construction, planting saltmarsh","Carex lyngbyei, Juncus balticus, Equisetum sppNA, Potentilla pacifica, Deschampsia caespitosa","Campbell River estuary, British Columbia",Canada,CAN,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Columbia Forest Products and, later, Fletcher Challenge Canada, allowed access to the site and provided technical assistance in obtaining some of the elevation measurementsNA Michael JNA Brownlee (deceased), Don Gordon, and Colin DNA Levings, Fisheries and Oceans, Canada, provided input to the initial research designNA The following people assisted with the fieldwork over the years of the study: Heather Jones, Terri Martin, John McIntosh, Edward Nygren, Roy Ostling, Jacques Sirois, Louise Waterhouse, and Michaela WaterhouseNA Students from Human Resources Development Canada (then Canada Manpower and Immigration), Summer Employment Program, also helped with the fieldwork over the first 5 years of the studyNA",13,2NA4,NA,1981.00,NA,NA,NA,NA,"Plug success on the four constructed islands was 92% by July 1982NA Most plug mortality occurred in the two lowelevation blocks of island 3NA Plug mortality on island 3 increased from 13% in July 1982 to 28% in August 1983, and vegetation growth of the two low-elevation blocks never recoveredNA By August 1983, overall plug success on the four islands was about 90%NA By 1988, most of the planted transects were similar in species composition to the Nunn’s low or mid-to-high marshes, but it was not until some time between 1988 and 1994 that species cover and frequency values attained values similar to those of the natural marshesNA",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,43,"King D (1998) The dollar value of wetlands: trap set, bait taken, don’t swallowNA Natl Wetl Newsl 20:7–11",journal,1998,NA,1997,secondary,"Pre-construction, construction and post-construction tasks paid for wetland mitigation - here for saltmarshesNA Original source: Kind D & Bohlen C (1994) Making sense of wetland restoration costsNA University of Maryland, Centre for Environmental Science","Pre-construction, construction and post-construction",NA,NA,USA,USA,developed,"Numbers represent how much money the state and federal agencies in the United States have been willing to spend or have spent by permit seekers to attempt to restore wetland servicesNA Cost include pre-construction, construction and post-construction tasks paid for wetland mitigation but do not include the time and resources of government agenciesNA",yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,0NA405,49000.00,1997.00,122500.00,166411.00,166411.00,166411.00,Numbers do not account for success or failure of the restoration projectNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,44,"Konisky RA, Burdick DM (2004) Effects of stressors on invasive and halophytic plants of New England salt marshes: A framework for predicting response to tidal restorationNA Wetlands 24:434-447",journal,2004,2000,NA,primary,"Individual shoots and root-soil clumps of the 6 study species were taken from nearby areas with saltwater flooding and transplanted, 2 at a time, into the open potsNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina patens,"Oak Knoll Marsh, Rowley, Massachusetts and Mill Brook Marsh, Stratham, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This work was supported by the Cooperative Institute for Coastal and Estuarine Environmental Technologies (CICEET Award NoNA NA07OR0351) and the Jackson Estuarine Laboratory at the University of New Hampshire (Contribution Series NoNA 410)NA John Aber, Michele Dionne, Fred Short, and Annette Schloss participated in the design of the experiment, and Cathy Bozek and Alyson Eberhardt provided help in the fieldNA We thank the Massachusetts Audubon Society and John and Lorraine Merrill of Stratham, New Hampshire for granting permission to use the study sitesNA",0NA4,0NA001,NA,2000.00,NA,NA,NA,NA,"Native species Spartina alterniflora, SNA patens, and Juncus survived at nearly twice the rate of brackish species Phragmites, Lythrum, and Typha, likely due to the effects of tidal floodingNA Salt hay transplants survived at all gradient study locations, with best growth performance at the middle elevation of the high salinity regimeNA",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,45,"Konisky RA, Burdick DM (2004) Effects of stressors on invasive and halophytic plants of New England salt marshes: A framework for predicting response to tidal restorationNA Wetlands 24:434-447",journal,2004,2000,NA,primary,"Individual shoots and root-soil clumps of the 6 study species were taken from nearby areas with saltwater flooding and transplanted, 2 at a time, into the open potsNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Oak Knoll Marsh, Rowley, Massachusetts and Mill Brook Marsh, Stratham, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This work was supported by the Cooperative Institute for Coastal and Estuarine Environmental Technologies (CICEET Award NoNA NA07OR0351) and the Jackson Estuarine Laboratory at the University of New Hampshire (Contribution Series NoNA 410)NA John Aber, Michele Dionne, Fred Short, and Annette Schloss participated in the design of the experiment, and Cathy Bozek and Alyson Eberhardt provided help in the fieldNA We thank the Massachusetts Audubon Society and John and Lorraine Merrill of Stratham, New Hampshire for granting permission to use the study sitesNA",0NA4,0NA001,NA,2000.00,NA,NA,NA,NA,"Native species Spartina alterniflora, SNA patens, and Juncus survived at nearly twice the rate of brackish species Phragmites, Lythrum, and Typha, likely due to the effects of tidal floodingNA Transplants of smooth cordgrass survived and grew across the entire study gradient, with best overall performance at the low elevation site of the mid-salinity regimeNA",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,46,"Konisky RA, Burdick DM (2004) Effects of stressors on invasive and halophytic plants of New England salt marshes: A framework for predicting response to tidal restorationNA Wetlands 24:434-447",journal,2004,2000,NA,primary,"Individual shoots and root-soil clumps of the 6 study species were taken from nearby areas with saltwater flooding and transplanted, 2 at a time, into the open potsNA","Planting saltmarsh (seeds, seedlings or sods)",Juncus gerardii,"Oak Knoll Marsh, Rowley, Massachusetts and Mill Brook Marsh, Stratham, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This work was supported by the Cooperative Institute for Coastal and Estuarine Environmental Technologies (CICEET Award NoNA NA07OR0351) and the Jackson Estuarine Laboratory at the University of New Hampshire (Contribution Series NoNA 410)NA John Aber, Michele Dionne, Fred Short, and Annette Schloss participated in the design of the experiment, and Cathy Bozek and Alyson Eberhardt provided help in the fieldNA We thank the Massachusetts Audubon Society and John and Lorraine Merrill of Stratham, New Hampshire for granting permission to use the study sitesNA",0NA4,0NA001,NA,2000.00,NA,NA,NA,NA,"Native species Spartina alterniflora, SNA patens, and Juncus survived at nearly twice the rate of brackish species Phragmites, Lythrum, and Typha, likely due to the effects of tidal floodingNA Transplants of black grass were not successful at the low elevation sites and performed best at the high elevation-high salinity gradient locationNA",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,47,"Konisky RA, Burdick DM (2004) Effects of stressors on invasive and halophytic plants of New England salt marshes: A framework for predicting response to tidal restorationNA Wetlands 24:434-447",journal,2004,2000,NA,primary,"Individual shoots and root-soil clumps of the 6 study species were taken from nearby areas with saltwater flooding and transplanted, 2 at a time, into the open potsNA","Planting saltmarsh (seeds, seedlings or sods)",Typha angustifolia,"Oak Knoll Marsh, Rowley, Massachusetts and Mill Brook Marsh, Stratham, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This work was supported by the Cooperative Institute for Coastal and Estuarine Environmental Technologies (CICEET Award NoNA NA07OR0351) and the Jackson Estuarine Laboratory at the University of New Hampshire (Contribution Series NoNA 410)NA John Aber, Michele Dionne, Fred Short, and Annette Schloss participated in the design of the experiment, and Cathy Bozek and Alyson Eberhardt provided help in the fieldNA We thank the Massachusetts Audubon Society and John and Lorraine Merrill of Stratham, New Hampshire for granting permission to use the study sitesNA",0NA4,0NA001,NA,2000.00,NA,NA,NA,NA,"Native species Spartina alterniflora, SNA patens, and Juncus survived at nearly twice the rate of brackish species Phragmites, Lythrum, and Typha, likely due to the effects of tidal floodingNA Typha transplants survived at seven gradient locations, but survivorship was very low (14%) in the high salinity regimes, indicating intolerance to salinity stress at polyhaline levelsNA",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,48,"Konisky RA, Burdick DM (2004) Effects of stressors on invasive and halophytic plants of New England salt marshes: A framework for predicting response to tidal restorationNA Wetlands 24:434-447",journal,2004,2000,NA,primary,"Individual shoots and root-soil clumps of the 6 study species were taken from nearby areas with saltwater flooding and transplanted, 2 at a time, into the open potsNA","Planting saltmarsh (seeds, seedlings or sods)",Phragmites australis,"Oak Knoll Marsh, Rowley, Massachusetts and Mill Brook Marsh, Stratham, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This work was supported by the Cooperative Institute for Coastal and Estuarine Environmental Technologies (CICEET Award NoNA NA07OR0351) and the Jackson Estuarine Laboratory at the University of New Hampshire (Contribution Series NoNA 410)NA John Aber, Michele Dionne, Fred Short, and Annette Schloss participated in the design of the experiment, and Cathy Bozek and Alyson Eberhardt provided help in the fieldNA We thank the Massachusetts Audubon Society and John and Lorraine Merrill of Stratham, New Hampshire for granting permission to use the study sitesNA",0NA4,0NA001,NA,2000.00,NA,NA,NA,NA,"Native species Spartina alterniflora, SNA patens, and Juncus survived at nearly twice the rate of brackish species Phragmites, Lythrum, and Typha, likely due to the effects of tidal floodingNA Phragmites, along with Spartina alterniflora and SNA patens, survived at all study locations and showed surprising tolerance
of both salinity and flood stressNA",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,49,"Konisky RA, Burdick DM (2004) Effects of stressors on invasive and halophytic plants of New England salt marshes: A framework for predicting response to tidal restorationNA Wetlands 24:434-447",journal,2004,2000,NA,primary,"Individual shoots and root-soil clumps of the 6 study species were taken from nearby areas with saltwater flooding and transplanted, 2 at a time, into the open potsNA","Planting saltmarsh (seeds, seedlings or sods)",Lythrum salicaria,"Oak Knoll Marsh, Rowley, Massachusetts and Mill Brook Marsh, Stratham, New Hampshire",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"This work was supported by the Cooperative Institute for Coastal and Estuarine Environmental Technologies (CICEET Award NoNA NA07OR0351) and the Jackson Estuarine Laboratory at the University of New Hampshire (Contribution Series NoNA 410)NA John Aber, Michele Dionne, Fred Short, and Annette Schloss participated in the design of the experiment, and Cathy Bozek and Alyson Eberhardt provided help in the fieldNA We thank the Massachusetts Audubon Society and John and Lorraine Merrill of Stratham, New Hampshire for granting permission to use the study sitesNA",0NA4,0NA001,NA,2000.00,NA,NA,NA,NA,"Native species Spartina alterniflora, SNA patens, and Juncus survived at nearly twice the rate of brackish species Phragmites, Lythrum, and Typha, likely due to the effects of tidal floodingNA Purple loosestrife experienced the highest mortality of the six study species, with transplant survival of just 10%NA Survivorship was limited to high elevations only, indicating a strong intolerance of saline floodingNA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,50,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Salicornia virginica,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,97NA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,51,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Salicornia bigelovii,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,97NA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,52,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Batis maritima,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,95NA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,53,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Frankenia salina,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,23NA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,54,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Suaeda esteroa,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,31NA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,55,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Triglochin concinna,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,36NA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,56,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Limonium californicum,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",2NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,51NA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
